%time value spike threshold
7061.000000 13.988445 nan -18.190455
7061.100000 11.909280 nan -18.190455
7061.200000 4.410115 nan -18.190455
7061.300000 9.819075 nan -18.190455
7061.400000 9.820115 nan -18.190455
7061.500000 5.241785 nan -18.190455
7061.600000 -0.173840 nan -18.190455
7061.700000 3.581365 nan -18.190455
7061.800000 -0.166970 nan -18.190455
7061.900000 -2.666140 nan -18.190455
7062.000000 -0.166555 nan -18.190455
7062.100000 -1.826140 nan -18.190455
7062.200000 3.174280 nan -18.190455
7062.300000 1.084075 nan -18.190455
7062.400000 -6.000095 nan -18.190455
7062.500000 -4.335720 nan -18.190455
7062.600000 -3.928845 nan -18.190455
7062.700000 -2.261345 nan -18.190455
7062.800000 -3.092595 nan -18.190455
7062.900000 -5.190515 nan -18.190455
7063.000000 -6.442600 nan -18.190455
7063.100000 1.896775 nan -18.190455
7063.200000 3.975105 nan -18.190455
7063.300000 3.141775 nan -18.190455
7063.400000 -0.198640 nan -18.190455
7063.500000 1.896360 nan -18.190455
7063.600000 4.397820 nan -18.190455
7063.700000 4.396155 nan -18.190455
7063.800000 -2.692385 nan -18.190455
7063.900000 -3.100510 nan -18.190455
7064.000000 -3.099050 nan -18.190455
